Title: A Swift look at SN 2011fe: The Earliest Ultraviolet Observations of a 
       Type Ia Supernova  
Authors: Brown P.J., Dawson K.S., de Pasquale M., Gronwall C., Holland S., 
         Immler S., Kuin P., Mazzali P., Milne P., Oates S., Siegel M. 
Table: SN2011fe UVOT Magnitudes, Count Rates and Fluxes
================================================================================
Byte-by-byte Description of file: apj431440t1_mrt.txt
-------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1-  4 A4     ---     Filter  Filter used in observation
   6- 15 F10.4  d       MJD     Modified Julian Date of observation  
  17- 21 F5.2   mag     mag     ? Observed magnitude in Filter
  23- 26 F4.2   mag   e_mag     ? Uncertainty in mag  
  28- 32 F5.2   mag     Upper   The 3{sigma} upper limit  
  34- 39 F6.2   ct/s    CRate   Count rate  
  41- 45 F5.2   ct/s  e_CRate   Uncertainty in CRate 
  47- 54 E8.2   mW/m2   Flux    Observed flux; erg/s/cm^2^   
  56- 63 E8.2   mW/m2 e_Flux    Uncertainty in Flux; erg/s/cm^2^
--------------------------------------------------------------------------------
uvw1 55820.9500 11.85 0.04 14.36 172.77  5.67 1.07e-09 3.51e-11 
uvw1 55822.2183 12.12 0.04 14.49 134.54  5.04 8.20e-10 3.07e-11 
uvw1 55822.2193 12.00 0.04 14.50 150.17  5.01 9.17e-10 3.06e-11 
uvw1 55823.0222 12.02 0.04 14.43 147.47  5.35 8.99e-10 3.26e-11 
uvw1 55823.0232 12.12 0.04 14.62 134.40  4.48 8.18e-10 2.73e-11 
uvw1 55823.0889 12.09 0.04 14.46 138.00  5.21 8.41e-10 3.17e-11 
uvw1 55823.0898 12.13 0.04 14.62 133.07  4.49 8.10e-10 2.73e-11 
uvw1 55824.4274 12.31 0.04 14.61 112.57  4.53 6.88e-10 2.77e-11 
uvw1 55824.4282 12.31 0.04 14.80 112.30  3.80 6.86e-10 2.32e-11 
uvw1 55826.9117 12.54 0.04 14.83  90.99  3.69 5.59e-10 2.26e-11 
uvw1 55826.9128 12.60 0.04 15.08  86.11  2.94 5.29e-10 1.80e-11 
uvw1 55826.9750 12.66 0.05 14.86  81.98  3.59 5.02e-10 2.20e-11 
uvw1 55826.9759 12.63 0.04 15.10  84.13  2.89 5.16e-10 1.77e-11 
uvw1 55827.0421 12.65 0.05 14.83  82.07  3.67 5.03e-10 2.25e-11 
uvw1 55827.0424 12.53 0.09 14.04  92.36  7.67 5.67e-10 4.71e-11 
uvw1 55827.1009 12.68 0.04 15.15  79.94  2.75 4.89e-10 1.68e-11 
uvw1 55827.2376 12.70 0.04 15.18  78.74  2.67 4.85e-10 1.65e-11 
uvw1 55827.2999 12.73 0.04 15.02  76.28  3.09 4.69e-10 1.90e-11 
uvw1 55827.4345 12.73 0.04 15.12  76.81  2.82 4.73e-10 1.74e-11 
uvw1 55827.5049 12.69 0.04 15.17  79.77  2.70 4.92e-10 1.67e-11 
uvw1 55827.6445 12.72 0.04 15.20  77.34  2.63 4.77e-10 1.62e-11 
uvw1 55829.4485 12.85 0.05 15.08  68.74  2.93 4.26e-10 1.81e-11 
uvw1 55829.4497 12.97 0.04 15.44  61.10  2.10 3.78e-10 1.30e-11 
uvw1 55829.5166 13.05 0.05 15.11  57.08  2.86 3.50e-10 1.75e-11 
uvw1 55829.5175 12.97 0.04 15.41  61.23  2.16 3.76e-10 1.33e-11 
uvw1 55829.8451 13.01 0.06 15.05  59.43  3.01 3.65e-10 1.85e-11 
uvw1 55831.7981 13.21 0.05 15.30  49.19  2.38 3.02e-10 1.46e-11 
uvw1 55831.7992 13.30 0.04 15.73  45.42  1.61 2.79e-10 9.87e-12 
uvw1 55831.9202 13.27 0.06 15.30  46.71  2.39 2.87e-10 1.47e-11 
uvw1 55831.9213 13.29 0.04 15.72  45.69  1.62 2.81e-10 9.99e-12 
uvw1 55832.9896 13.50 0.06 15.41  37.75  2.17 2.31e-10 1.33e-11 
uvw1 55832.9906 13.45 0.04 15.85  39.53  1.44 2.42e-10 8.81e-12 
uvw1 55833.4640 13.40 0.05 15.57  41.23  1.87 2.54e-10 1.15e-11 
uvw1 55833.4657 13.48 0.04 15.94  38.24  1.33 2.35e-10 8.19e-12 
uvw1 55833.5299 13.43 0.06 15.36  40.34  2.27 2.47e-10 1.39e-11 
uvw1 55833.5308 13.50 0.04 15.89  37.58  1.39 2.30e-10 8.49e-12 
uvw1 55835.4000 13.62 0.05 15.68  33.58  1.69 2.06e-10 1.03e-11 
uvw1 55835.4015 13.72 0.04 16.13  30.84  1.12 1.89e-10 6.83e-12 
uvw1 55835.4670 13.76 0.06 15.64  29.57  1.75 1.80e-10 1.06e-11 
uvw1 55835.4682 13.74 0.04 16.12  30.25  1.12 1.84e-10 6.85e-12 
uvw1 55836.4714 13.85 0.06 15.77  27.27  1.56 1.66e-10 9.47e-12 
uvw1 55836.4728 13.84 0.04 16.23  27.55  1.01 1.67e-10 6.16e-12 
uvw1 55836.5398 13.88 0.07 15.71  26.42  1.63 1.59e-10 9.86e-12 
uvw1 55836.5410 13.83 0.04 16.20  27.82  1.04 1.68e-10 6.28e-12 
uvw1 55837.4043 13.96 0.07 15.80  24.62  1.50 1.49e-10 9.08e-12 
uvw1 55837.4056 13.90 0.04 16.28  25.98  0.97 1.57e-10 5.86e-12 
uvw1 55838.3444 14.03 0.06 15.96  23.12  1.31 1.40e-10 7.94e-12 
uvw1 55838.3460 13.97 0.04 16.37  24.33  0.90 1.48e-10 5.44e-12 
uvw1 55838.9456 14.15 0.07 15.86  20.73  1.43 1.25e-10 8.59e-12 
uvw1 55838.9468 14.05 0.04 16.39  22.74  0.88 1.37e-10 5.31e-12 
uvw1 55839.6164 14.02 0.07 15.82  23.24  1.48 1.41e-10 8.97e-12 
uvw1 55839.6177 14.13 0.04 16.47  21.09  0.81 1.28e-10 4.92e-12 
uvw1 55840.2179 14.15 0.07 15.97  20.76  1.29 1.25e-10 7.74e-12 
uvw1 55840.2193 14.15 0.04 16.51  20.64  0.79 1.24e-10 4.73e-12 
uvw1 55840.3543 14.14 0.09 15.68  20.90  1.69 1.26e-10 1.01e-11 
uvw1 55840.3551 14.14 0.04 16.41  20.87  0.86 1.25e-10 5.17e-12 
uvw1 55841.3498 14.22 0.07 15.96  19.38  1.30 1.17e-10 7.84e-12 
uvw1 55841.3510 14.26 0.04 16.58  18.77  0.73 1.13e-10 4.42e-12 
uvw1 55841.8914 14.34 0.08 15.96  17.37  1.30 1.05e-10 7.86e-12 
uvw1 55841.8926 14.27 0.04 16.56  18.60  0.75 1.12e-10 4.54e-12 
uvw1 55842.0118 14.28 0.09 15.75  18.35  1.58 1.11e-10 9.57e-12 
uvw1 55842.0123 14.29 0.06 16.28  18.15  0.97 1.10e-10 5.85e-12 
uvw1 55842.3568 14.16 0.07 15.87  20.50  1.41 1.24e-10 8.54e-12 
uvw1 55842.3579 14.27 0.04 16.57  18.53  0.74 1.12e-10 4.46e-12 
uvw1 55842.8956 14.42 0.08 16.00  16.21  1.25 9.84e-11 7.62e-12 
uvw1 55842.8968 14.34 0.04 16.62  17.34  0.71 1.05e-10 4.30e-12 
uvw1 55843.4901 14.49 0.09 16.05  15.16  1.20 9.16e-11 7.28e-12 
uvw1 55843.4912 14.41 0.04 16.69  16.32  0.67 9.88e-11 4.03e-12 
uvw1 55843.7540 14.40 0.09 15.94  16.44  1.33 1.00e-10 8.13e-12 
uvw1 55843.7550 14.33 0.04 16.60  17.60  0.72 1.07e-10 4.39e-12 
uvw1 55844.0231 14.36 0.08 15.98  17.01  1.28 1.03e-10 7.76e-12 
uvw1 55844.0243 14.44 0.04 16.71  15.90  0.65 9.64e-11 3.96e-12 
uvw1 55844.0894 14.38 0.09 15.95  16.82  1.31 1.02e-10 7.94e-12 
uvw1 55844.0905 14.41 0.04 16.67  16.35  0.68 9.89e-11 4.08e-12 
uvw1 55845.4268 14.52 0.09 16.04  14.73  1.22 9.02e-11 7.45e-12 
uvw1 55845.4279 14.49 0.04 16.75  15.09  0.63 9.25e-11 3.87e-12 
uvw1 55845.4925 14.47 0.09 15.93  15.48  1.34 9.54e-11 8.23e-12 
uvw1 55845.4934 14.46 0.05 16.69  15.51  0.66 9.56e-11 4.09e-12 
uvw1 55846.7057 14.53 0.09 16.10  14.54  1.15 8.95e-11 7.04e-12 
uvw1 55846.7069 14.56 0.04 16.82  14.17  0.59 8.71e-11 3.63e-12 
uvw1 55847.4420 14.62 0.09 16.17  13.45  1.07 8.26e-11 6.58e-12 
uvw1 55847.4433 14.64 0.05 16.88  13.23  0.56 8.12e-11 3.44e-12 
uvw1 55848.0349 14.68 0.04 17.00  12.71  0.50 7.87e-11 3.10e-12 
uvw1 55849.5023 14.64 0.04 16.97  13.15  0.52 8.17e-11 3.20e-12 
uvw1 55850.7109 14.70 0.04 17.00  12.46  0.50 7.76e-11 3.13e-12 
uvw1 55851.7247 14.77 0.04 17.05  11.72  0.48 7.30e-11 2.98e-12 
uvw1 55852.3145 14.80 0.04 17.09  11.35  0.46 7.07e-11 2.87e-12 
uvw1 55853.7100 14.83 0.04 17.10  11.10  0.46 6.90e-11 2.84e-12 
uvw1 55854.7900 14.92 0.05 17.11  10.19  0.45 6.42e-11 2.85e-12 
uvw1 55854.8540 14.94 0.05 17.09  10.01  0.46 6.31e-11 2.89e-12 
uvw1 55855.5813 14.94 0.05 17.13   9.96  0.45 6.19e-11 2.76e-12 
uvw1 55855.6514 14.92 0.05 17.11  10.20  0.45 6.34e-11 2.81e-12 
uvw1 55856.3842 14.94 0.05 17.11  10.02  0.45 6.21e-11 2.81e-12 
uvw1 55856.4512 14.93 0.05 17.09  10.14  0.46 6.30e-11 2.87e-12 
uvw1 55857.4537 14.93 0.05 17.13  10.12  0.44 6.30e-11 2.75e-12 
uvw1 55857.5196 14.92 0.06 16.89  10.16  0.56 6.29e-11 3.44e-12 
uvw1 55858.5225 15.01 0.06 16.94   9.39  0.53 5.85e-11 3.29e-12 
uvw1 55859.5290 14.98 0.05 17.10   9.65  0.46 5.97e-11 2.81e-12 
uvw1 55860.0020 15.06 0.05 17.16   8.98  0.43 5.55e-11 2.67e-12 
uvw1 55861.1305 15.21 0.05 17.39   7.83  0.35 4.82e-11 2.15e-12 
uvw1 55862.2672 15.09 0.05 17.29   8.68  0.38 5.36e-11 2.36e-12 
uvw1 55863.0028 15.13 0.05 17.32   8.36  0.37 5.20e-11 2.31e-12 
uvw1 55864.8766 15.21 0.05 17.38   7.82  0.35 4.84e-11 2.17e-12 
uvw1 55865.2097 15.18 0.05 17.36   8.01  0.36 4.94e-11 2.20e-12 
uvw1 55866.8826 15.24 0.05 17.40   7.57  0.34 4.69e-11 2.14e-12 
uvw1 55867.3552 15.32 0.06 17.24   7.03  0.40 4.30e-11 2.45e-12 
uvw1 55867.9550 15.32 0.05 17.40   7.05  0.35 4.34e-11 2.13e-12 
uvw1 55868.0862 15.28 0.05 17.46   7.32  0.33 4.50e-11 2.01e-12 
uvw1 55868.4872 15.30 0.06 17.19   7.16  0.42 4.40e-11 2.58e-12 
uvw1 55869.1567 15.30 0.05 17.44   7.17  0.33 4.40e-11 2.05e-12 
uvw1 55873.1088 15.43 0.05 17.51   6.38  0.31 3.91e-11 1.90e-12 
uvw1 55875.7203 15.98 0.10 17.43   3.85  0.34 2.30e-11 2.02e-12 
uvw1 55877.9327 15.59 0.06 17.61   5.49  0.29 3.37e-11 1.76e-12 
uvw1 55879.2004 15.67 0.06 17.64   5.12  0.28 3.11e-11 1.67e-12 
uvw1 55881.9471 15.62 0.06 17.64   5.32  0.28 3.24e-11 1.68e-12 
uvw1 55883.0332 15.66 0.06 17.56   5.15  0.30 3.14e-11 1.81e-12 
uvw1 55885.8934 15.77 0.06 17.75   4.68  0.25 2.85e-11 1.54e-12 
uvw1 55887.3015 15.79 0.06 17.73   4.58  0.25 2.79e-11 1.55e-12 
uvw1 55889.7761 15.84 0.06 17.79   4.37  0.24 2.67e-11 1.48e-12 
uvw1 55891.8345 15.89 0.06 17.80   4.17  0.24 2.54e-11 1.46e-12 
uvw1 55893.9067 15.97 0.06 17.86   3.86  0.23 2.31e-11 1.36e-12 
uvw1 55895.9116 16.00 0.07 17.87   3.77  0.23 2.26e-11 1.35e-12 
uvw1 55897.4596 15.97 0.07 17.68   3.87  0.27 2.37e-11 1.64e-12 
uvw1 55899.6575 16.09 0.07 17.93   3.47  0.21 2.08e-11 1.27e-12 
uvw1 55901.5315 16.11 0.07 17.95   3.40  0.21 2.00e-11 1.23e-12 
uvw1 55903.7306 16.16 0.07 17.97   3.27  0.20 1.88e-11 1.18e-12 
uvw1 55905.0668 16.23 0.07 18.02   3.04  0.20 1.82e-11 1.17e-12 
uvw1 55909.9472 16.25 0.07 18.02   2.98  0.20 1.79e-11 1.18e-12 
uvw1 55913.8905 16.46 0.08 18.12   2.47  0.18 1.49e-11 1.07e-12 
u    55797.9252 15.78 0.07 17.57  10.58  0.68 5.92e-11 3.79e-12 
u    55797.9921 15.65 0.07 17.51  11.87  0.71 6.63e-11 3.99e-12 
u    55799.0028 14.33 0.05 16.55  40.07  1.74 2.24e-10 9.71e-12 
u    55799.1311 14.20 0.04 16.49  45.18  1.83 2.53e-10 1.02e-11 
u    55799.2087 14.20 0.04 16.54  45.20  1.75 2.52e-10 9.78e-12 
u    55799.3988 14.00 0.04 16.35  54.60  2.08 3.05e-10 1.16e-11 
u    55799.5373 13.88 0.04 16.28  60.71  2.22 3.39e-10 1.24e-11 
u    55800.0665 13.49 0.04 15.92  87.24  3.10 4.87e-10 1.73e-11 
u    55800.2053 13.35 0.04 15.76  98.82  3.58 5.51e-10 2.00e-11 
u    55800.3395 13.27 0.04 15.73 106.58  3.70 5.95e-10 2.06e-11 
u    55800.6110 13.07 0.04 15.57 128.49  4.29 7.17e-10 2.39e-11 
u    55800.7353 13.00 0.04 15.49 136.22  4.62 7.60e-10 2.58e-11 
u    55800.8082 12.99 0.04 15.46 137.45  4.75 7.67e-10 2.65e-11 
u    55800.9350 12.84 0.04 15.30 158.63  5.48 8.85e-10 3.06e-11 
u    55801.1391 12.68 0.04 15.18 183.93  6.14 1.03e-09 3.43e-11 
u    55801.2194 12.61 0.04 15.12 196.32  6.45 1.09e-09 3.60e-11 
u    55801.4868 12.50 0.04 15.02 217.00  7.12 1.21e-09 3.97e-11 
u    55801.5368 12.50 0.04 14.96 217.46  7.49 1.21e-09 4.17e-11 
u    55801.5376 12.44 0.04 14.95 229.24  7.55 1.28e-09 4.20e-11 
u    55828.1791 11.26 0.04 13.78 682.43 22.16 3.81e-09 1.24e-10 
u    55829.4524 11.44 0.04 13.97 578.36 18.66 3.23e-09 1.04e-10 
u    55829.5195 11.44 0.04 13.96 577.42 18.80 3.22e-09 1.05e-10 
u    55831.8015 11.76 0.04 14.28 430.60 14.05 2.40e-09 7.84e-11 
u    55831.9232 11.78 0.04 14.31 420.89 13.68 2.35e-09 7.63e-11 
u    55832.9926 11.92 0.04 14.45 369.47 12.04 2.06e-09 6.71e-11 
u    55833.4695 11.99 0.04 14.52 347.73 11.25 1.94e-09 6.27e-11 
u    55833.5325 12.01 0.04 14.50 340.32 11.50 1.90e-09 6.40e-11 
u    55835.4035 12.34 0.04 14.85 250.44  8.26 1.39e-09 4.60e-11 
u    55835.4050 12.24 0.04 14.77 275.47  8.95 1.53e-09 4.98e-11 
u    55835.4697 12.36 0.04 14.85 247.09  8.28 1.37e-09 4.60e-11 
u    55835.4708 12.25 0.04 14.77 273.83  8.96 1.52e-09 4.98e-11 
u    55836.4744 12.38 0.04 14.88 241.92  8.05 1.34e-09 4.48e-11 
u    55836.4755 12.35 0.04 14.87 248.25  8.12 1.38e-09 4.51e-11 
u    55836.5425 12.40 0.04 14.89 236.98  7.96 1.32e-09 4.42e-11 
u    55836.5432 12.36 0.04 14.87 246.77  8.14 1.37e-09 4.52e-11 
u    55836.6693 12.45 0.04 14.97 227.63  7.40 1.26e-09 4.11e-11 
u    55836.7276 12.49 0.04 15.01 218.54  7.15 1.21e-09 3.97e-11 
u    55836.7942 12.46 0.04 14.98 224.84  7.33 1.25e-09 4.07e-11 
u    55836.8609 12.51 0.04 15.04 214.34  7.00 1.19e-09 3.89e-11 
u    55836.9283 12.48 0.04 15.01 219.86  7.14 1.22e-09 3.97e-11 
u    55836.9949 12.46 0.04 14.99 224.64  7.32 1.25e-09 4.06e-11 
u    55838.3480 12.55 0.04 15.04 206.47  6.97 1.15e-09 3.87e-11 
u    55838.3496 12.55 0.04 15.06 207.83  6.85 1.15e-09 3.80e-11 
u    55838.9482 12.63 0.04 15.09 192.52  6.62 1.07e-09 3.67e-11 
u    55838.9494 12.62 0.04 15.13 194.23  6.40 1.08e-09 3.55e-11 
u    55839.6192 12.66 0.04 15.13 186.99  6.44 1.04e-09 3.57e-11 
u    55839.6204 12.67 0.04 15.18 185.29  6.11 1.03e-09 3.39e-11 
u    55840.2212 12.77 0.04 15.22 169.58  5.89 9.40e-10 3.26e-11 
u    55840.2226 12.75 0.04 15.26 171.95  5.71 9.53e-10 3.16e-11 
u    55840.3563 12.81 0.04 15.21 162.21  5.98 8.99e-10 3.31e-11 
u    55840.3571 12.72 0.04 15.21 176.59  5.93 9.78e-10 3.28e-11 
u    55841.3526 12.84 0.04 15.29 157.95  5.52 8.75e-10 3.06e-11 
u    55841.3539 12.83 0.04 15.35 159.43  5.25 8.83e-10 2.91e-11 
u    55841.8940 12.78 0.04 15.21 167.64  5.95 9.29e-10 3.30e-11 
u    55841.8952 12.85 0.04 15.34 157.71  5.30 8.74e-10 2.94e-11 
u    55842.3594 12.89 0.04 15.31 151.56  5.41 8.40e-10 3.00e-11 
u    55842.3604 12.88 0.04 15.38 152.95  5.10 8.47e-10 2.83e-11 
u    55842.8982 12.87 0.04 15.29 153.57  5.53 8.51e-10 3.07e-11 
u    55842.8994 12.93 0.04 15.42 145.80  4.91 8.08e-10 2.72e-11 
u    55843.4927 12.97 0.04 15.39 139.90  5.02 7.75e-10 2.78e-11 
u    55843.4937 12.99 0.04 15.49 137.99  4.58 7.65e-10 2.54e-11 
u    55843.7564 12.96 0.04 15.36 142.37  5.20 7.89e-10 2.88e-11 
u    55843.7571 13.00 0.04 15.48 137.09  4.62 7.60e-10 2.56e-11 
u    55844.0258 13.05 0.04 15.44 130.82  4.81 7.25e-10 2.66e-11 
u    55844.0262 13.02 0.04 15.45 133.86  4.79 7.42e-10 2.66e-11 
u    55844.0920 12.94 0.04 15.35 144.52  5.24 8.01e-10 2.90e-11 
u    55844.0923 13.02 0.04 15.32 134.48  5.36 7.45e-10 2.97e-11 
u    55845.4294 13.12 0.04 15.50 122.19  4.57 6.78e-10 2.54e-11 
u    55845.4304 13.11 0.04 15.61 123.28  4.12 6.84e-10 2.29e-11 
u    55845.4947 13.12 0.04 15.47 122.10  4.67 6.78e-10 2.59e-11 
u    55845.4954 13.13 0.04 15.60 121.64  4.16 6.75e-10 2.31e-11 
u    55846.7084 13.25 0.04 15.61 109.08  4.13 6.05e-10 2.29e-11 
u    55846.7096 13.17 0.04 15.66 116.84  3.92 6.48e-10 2.17e-11 
u    55847.4449 13.27 0.04 15.63 106.42  4.03 5.91e-10 2.23e-11 
u    55847.4461 13.20 0.04 15.69 113.71  3.82 6.31e-10 2.12e-11 
u    55848.0370 13.25 0.04 15.74 108.54  3.64 6.03e-10 2.02e-11 
u    55848.5079 13.31 0.04 15.57 103.16  4.27 5.73e-10 2.37e-11 
u    55848.5087 13.27 0.04 15.74 107.05  3.66 5.95e-10 2.03e-11 
u    55849.5045 13.30 0.04 15.79 103.66  3.50 5.76e-10 1.94e-11 
u    55850.7128 13.38 0.04 15.86  96.38  3.28 5.36e-10 1.82e-11 
u    55851.6550 13.42 0.05 15.65  92.75  3.99 5.15e-10 2.22e-11 
u    55851.6558 13.40 0.04 15.86  94.73  3.28 5.26e-10 1.82e-11 
u    55851.7265 13.36 0.04 15.83  97.78  3.36 5.43e-10 1.87e-11 
u    55852.2378 13.49 0.05 15.69  86.92  3.82 4.83e-10 2.12e-11 
u    55852.2386 13.40 0.04 15.86  94.34  3.27 5.24e-10 1.81e-11 
u    55852.3165 13.45 0.04 15.92  90.31  3.09 5.02e-10 1.71e-11 
u    55853.3079 13.56 0.05 15.72  81.86  3.71 4.55e-10 2.06e-11 
u    55853.3088 13.46 0.04 15.90  89.86  3.14 4.99e-10 1.75e-11 
u    55853.7120 13.47 0.04 15.93  88.32  3.07 4.90e-10 1.70e-11 
u    55854.7913 13.47 0.04 15.91  89.03  3.12 4.95e-10 1.73e-11 
u    55854.8552 13.50 0.04 15.94  86.11  3.06 4.79e-10 1.70e-11 
u    55855.5826 13.52 0.04 15.96  84.58  2.98 4.69e-10 1.65e-11 
u    55855.6527 13.51 0.04 15.96  85.33  3.00 4.74e-10 1.66e-11 
u    55856.3854 13.57 0.04 15.99  80.67  2.89 4.48e-10 1.60e-11 
u    55856.4524 13.59 0.04 16.00  79.52  2.86 4.41e-10 1.59e-11 
u    55857.4552 13.59 0.04 16.02  79.49  2.82 4.41e-10 1.56e-11 
u    55857.5202 13.61 0.04 15.94  78.35  3.05 4.35e-10 1.69e-11 
u    55857.5246 13.65 0.05 15.79  75.12  3.50 4.17e-10 1.94e-11 
u    55857.5254 13.66 0.04 16.10  74.14  2.63 4.11e-10 1.46e-11 
u    55858.5231 13.62 0.04 15.95  77.54  3.02 4.30e-10 1.68e-11 
u    55858.5274 13.56 0.05 15.73  81.73  3.69 4.54e-10 2.05e-11 
u    55858.5282 13.63 0.04 16.06  76.57  2.71 4.25e-10 1.50e-11 
u    55859.5302 13.63 0.04 16.04  76.29  2.77 4.23e-10 1.54e-11 
u    55860.0031 13.66 0.04 16.06  74.56  2.73 4.14e-10 1.51e-11 
u    55860.0617 13.62 0.04 15.98  76.92  2.92 4.27e-10 1.62e-11 
u    55860.0677 13.61 0.05 15.76  77.92  3.58 4.32e-10 1.98e-11 
u    55860.0685 13.67 0.04 16.10  73.91  2.63 4.10e-10 1.46e-11 
u    55861.1324 13.77 0.04 16.21  67.26  2.38 3.73e-10 1.32e-11 
u    55861.5986 13.70 0.05 15.83  72.04  3.38 4.00e-10 1.87e-11 
u    55861.5994 13.69 0.04 16.13  72.58  2.56 4.03e-10 1.42e-11 
u    55862.2690 13.72 0.04 16.16  70.63  2.48 3.92e-10 1.38e-11 
u    55862.7339 13.77 0.05 15.87  67.23  3.23 3.74e-10 1.79e-11 
u    55862.7347 13.73 0.04 16.17  69.80  2.46 3.88e-10 1.37e-11 
u    55863.0046 13.76 0.04 16.19  68.02  2.41 3.78e-10 1.34e-11 
u    55864.1387 13.69 0.05 15.82  72.26  3.39 4.02e-10 1.88e-11 
u    55864.1395 13.72 0.04 16.16  70.39  2.49 3.91e-10 1.38e-11 
u    55864.8785 13.80 0.04 16.23  65.73  2.33 3.66e-10 1.30e-11 
u    55865.0077 13.85 0.05 15.92  62.55  3.10 3.48e-10 1.72e-11 
u    55865.0085 13.76 0.04 16.20  67.97  2.40 3.78e-10 1.33e-11 
u    55865.2117 13.79 0.04 16.23  65.87  2.33 3.66e-10 1.29e-11 
u    55866.6131 13.80 0.05 15.89  65.57  3.18 3.65e-10 1.77e-11 
u    55866.6139 13.89 0.04 16.32  59.99  2.15 3.34e-10 1.19e-11 
u    55866.8844 13.80 0.04 16.24  65.26  2.31 3.63e-10 1.28e-11 
u    55867.2152 13.76 0.05 15.87  67.99  3.24 3.78e-10 1.80e-11 
u    55867.2160 13.82 0.04 16.25  64.34  2.28 3.58e-10 1.27e-11 
u    55867.3560 13.81 0.04 16.14  64.86  2.52 3.61e-10 1.40e-11 
u    55867.9564 13.77 0.04 16.18  67.09  2.45 3.73e-10 1.36e-11 
u    55868.0188 13.88 0.05 15.95  60.85  3.02 3.39e-10 1.68e-11 
u    55868.0196 13.85 0.04 16.28  62.79  2.22 3.49e-10 1.24e-11 
u    55868.0883 13.83 0.04 16.26  63.70  2.26 3.54e-10 1.26e-11 
u    55868.4879 13.85 0.04 16.16  62.75  2.48 3.49e-10 1.38e-11 
u    55869.0223 13.90 0.06 15.95  59.79  3.03 3.33e-10 1.68e-11 
u    55869.0231 13.91 0.04 16.32  59.30  2.14 3.30e-10 1.19e-11 
u    55869.1585 13.87 0.04 16.29  61.13  2.20 3.40e-10 1.22e-11 
u    55873.1106 13.96 0.04 16.34  56.53  2.10 3.15e-10 1.17e-11 
u    55875.7211 14.03 0.05 16.28  53.13  2.23 2.96e-10 1.24e-11 
u    55877.9345 14.14 0.04 16.48  47.79  1.85 2.67e-10 1.03e-11 
u    55879.2022 14.12 0.04 16.46  48.82  1.89 2.72e-10 1.05e-11 
u    55881.9490 14.20 0.04 16.55  45.27  1.74 2.53e-10 9.70e-12 
u    55885.8953 14.26 0.04 16.61  42.71  1.65 2.38e-10 9.19e-12 
u    55887.3032 14.27 0.04 16.61  42.39  1.64 2.37e-10 9.16e-12 
u    55889.7779 14.33 0.04 16.66  40.22  1.56 2.25e-10 8.73e-12 
u    55891.8364 14.44 0.04 16.75  36.24  1.44 2.02e-10 8.06e-12 
u    55893.9086 14.54 0.04 16.82  33.22  1.35 1.85e-10 7.50e-12 
u    55895.9133 14.46 0.04 16.77  35.47  1.41 1.98e-10 7.87e-12 
u    55897.4606 14.57 0.05 16.76  32.22  1.43 1.80e-10 8.01e-12 
u    55899.6593 14.61 0.04 16.90  31.14  1.26 1.74e-10 7.01e-12 
u    55901.5333 14.68 0.04 16.95  29.04  1.20 1.62e-10 6.65e-12 
u    55903.7324 14.71 0.04 16.98  28.39  1.17 1.58e-10 6.51e-12 
u    55905.0687 14.75 0.04 17.02  27.24  1.13 1.52e-10 6.29e-12 
u    55909.9490 14.79 0.04 17.04  26.33  1.10 1.47e-10 6.14e-12 
u    55913.8923 14.95 0.05 17.17  22.63  0.98 1.26e-10 5.48e-12 
b    55797.9261 15.66 0.06 17.70  23.92  1.22 1.10e-10 5.59e-12 
b    55797.9930 15.50 0.05 17.61  27.78  1.32 1.27e-10 6.06e-12 
b    55799.0032 14.18 0.04 16.58  93.67  3.44 4.29e-10 1.58e-11 
b    55799.1318 14.12 0.04 16.53  99.37  3.60 4.55e-10 1.65e-11 
b    55799.2094 14.04 0.04 16.50 106.18  3.70 4.86e-10 1.70e-11 
b    55799.3995 13.88 0.04 16.33 123.39  4.30 5.66e-10 1.97e-11 
b    55799.5382 13.79 0.04 16.27 134.55  4.57 6.17e-10 2.09e-11 
b    55800.0673 13.36 0.04 15.85 198.82  6.71 9.11e-10 3.08e-11 
b    55800.2058 13.25 0.04 15.74 221.58  7.41 1.02e-09 3.40e-11 
b    55800.3401 13.13 0.04 15.64 247.51  8.12 1.14e-09 3.73e-11 
b    55801.5396 12.44 0.04 14.97 466.37 15.15 2.14e-09 6.96e-11 
b    55848.5106 12.90 0.04 15.42 304.90  9.99 1.38e-09 4.52e-11 
b    55851.6578 13.03 0.04 15.54 270.33  8.94 1.22e-09 4.04e-11 
b    55852.2398 13.18 0.04 15.64 236.14  8.15 1.07e-09 3.69e-11 
b    55852.2406 13.05 0.04 15.55 266.37  8.82 1.21e-09 4.00e-11 
b    55853.3107 13.07 0.04 15.58 259.45  8.62 1.17e-09 3.90e-11 
b    55853.7130 13.13 0.04 15.65 245.57  8.10 1.11e-09 3.67e-11 
b    55854.7920 13.15 0.04 15.66 243.02  8.01 1.10e-09 3.63e-11 
b    55854.8558 13.17 0.04 15.68 237.64  7.85 1.08e-09 3.56e-11 
b    55855.5833 13.20 0.04 15.71 230.28  7.63 1.04e-09 3.46e-11 
b    55855.6534 13.20 0.04 15.71 231.44  7.63 1.05e-09 3.46e-11 
b    55856.3861 13.19 0.04 15.70 232.47  7.73 1.05e-09 3.50e-11 
