Title: A Swift look at SN 2011fe: The Earliest Ultraviolet Observations of a 
       Type Ia Supernova  
Authors: Brown P.J., Dawson K.S., de Pasquale M., Gronwall C., Holland S., 
         Immler S., Kuin P., Mazzali P., Milne P., Oates S., Siegel M. 
Table: SN2011fe UVOT Magnitudes, Count Rates and Fluxes
================================================================================
Byte-by-byte Description of file: apj431440t1_mrt.txt
-------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1-  4 A4     ---     Filter  Filter used in observation
   6- 15 F10.4  d       MJD     Modified Julian Date of observation  
  17- 21 F5.2   mag     mag     ? Observed magnitude in Filter
  23- 26 F4.2   mag   e_mag     ? Uncertainty in mag  
  28- 32 F5.2   mag     Upper   The 3{sigma} upper limit  
  34- 39 F6.2   ct/s    CRate   Count rate  
  41- 45 F5.2   ct/s  e_CRate   Uncertainty in CRate 
  47- 54 E8.2   mW/m2   Flux    Observed flux; erg/s/cm^2^   
  56- 63 E8.2   mW/m2 e_Flux    Uncertainty in Flux; erg/s/cm^2^
--------------------------------------------------------------------------------
uvw2 55837.1283 15.19 0.08 16.82   7.50  0.56 4.80e-11 3.58e-12 
uvw2 55837.1392 15.09 0.07 16.95   8.26  0.50 5.28e-11 3.18e-12 
uvw2 55837.2054 15.19 0.10 16.53   7.51  0.73 4.79e-11 4.64e-12 
uvw2 55837.2143 15.07 0.07 16.84   8.37  0.55 5.33e-11 3.48e-12 
uvw2 55837.3958 15.27 0.12 16.45   6.96  0.79 4.42e-11 5.00e-12 
uvw2 55837.3970 15.21 0.06 17.27   7.35  0.37 4.67e-11 2.35e-12 
uvw2 55838.3336 15.17 0.10 16.55   7.66  0.72 5.12e-11 4.79e-12 
uvw2 55838.3352 15.24 0.05 17.36   7.16  0.34 4.79e-11 2.27e-12 
uvw2 55838.9378 15.21 0.12 16.37   7.37  0.84 4.66e-11 5.33e-12 
uvw2 55838.9389 15.27 0.06 17.29   6.99  0.36 4.42e-11 2.30e-12 
uvw2 55839.6081 15.17 0.12 16.37   7.68  0.84 4.88e-11 5.36e-12 
uvw2 55839.6093 15.38 0.06 17.36   6.32  0.34 4.02e-11 2.15e-12 
uvw2 55840.2080 15.30 0.12 16.54   6.79  0.72 4.44e-11 4.72e-12 
uvw2 55840.2095 15.41 0.06 17.44   6.13  0.31 4.00e-11 2.05e-12 
uvw2 55840.3482 15.29 0.16 16.19   6.87  1.00 4.50e-11 6.52e-12 
uvw2 55840.3490 15.44 0.07 17.28   6.00  0.37 3.93e-11 2.40e-12 
uvw2 55841.3412 15.31 0.12 16.47   6.72  0.77 4.46e-11 5.12e-12 
uvw2 55841.3425 15.40 0.06 17.39   6.19  0.33 4.11e-11 2.18e-12 
uvw2 55841.8837 15.56 0.15 16.52   5.36  0.73 3.35e-11 4.58e-12 
uvw2 55841.8848 15.46 0.06 17.40   5.83  0.33 3.64e-11 2.05e-12 
uvw2 55842.0079 15.52 0.18 16.28   5.54  0.92 3.97e-11 6.56e-12 
uvw2 55842.0087 15.47 0.07 17.27   5.82  0.37 4.17e-11 2.64e-12 
uvw2 55842.0268 15.47 0.08 17.07   5.79  0.44 3.88e-11 2.97e-12 
uvw2 55842.0932 15.48 0.07 17.31   5.75  0.35 3.84e-11 2.37e-12 
uvw2 55842.1604 15.48 0.07 17.35   5.76  0.34 3.85e-11 2.29e-12 
uvw2 55842.3489 15.57 0.15 16.53   5.28  0.73 3.77e-11 5.23e-12 
uvw2 55842.3500 15.42 0.06 17.37   6.08  0.34 4.35e-11 2.41e-12 
uvw2 55842.5653 15.49 0.07 17.36   5.72  0.34 3.78e-11 2.25e-12 
uvw2 55842.8878 15.64 0.15 16.56   4.97  0.71 3.33e-11 4.75e-12 
uvw2 55842.8889 15.53 0.06 17.44   5.49  0.32 3.68e-11 2.12e-12 
uvw2 55842.9612 15.55 0.07 17.36   5.40  0.34 3.61e-11 2.28e-12 
uvw2 55843.4823 15.55 0.15 16.52   5.38  0.74 3.63e-11 4.96e-12 
uvw2 55843.4834 15.54 0.06 17.45   5.42  0.31 3.65e-11 2.10e-12 
uvw2 55843.7468 15.59 0.16 16.46   5.22  0.78 3.35e-11 4.99e-12 
uvw2 55843.7478 15.60 0.07 17.44   5.14  0.32 3.30e-11 2.02e-12 
uvw2 55844.0152 15.66 0.16 16.58   4.85  0.70 3.18e-11 4.56e-12 
uvw2 55844.0164 15.56 0.06 17.47   5.35  0.31 3.50e-11 2.01e-12 
uvw2 55844.0819 15.78 0.17 16.59   4.36  0.69 2.99e-11 4.76e-12 
uvw2 55844.0830 15.61 0.07 17.48   5.08  0.30 3.49e-11 2.09e-12 
uvw2 55845.4193 15.93 0.19 16.64   3.79  0.66 2.76e-11 4.79e-12 
uvw2 55845.4204 15.66 0.07 17.51   4.85  0.29 3.54e-11 2.15e-12 
uvw2 55845.4858 16.64 0.30 16.84   1.97  0.55 1.39e-11 3.85e-12 
uvw2 55845.4867 15.72 0.07 17.48   4.59  0.30 3.23e-11 2.13e-12 
uvw2 55845.5527 15.74 0.20 16.41   4.53  0.82 3.24e-11 5.82e-12 
uvw2 55845.5535 15.74 0.08 17.43   4.51  0.32 3.22e-11 2.28e-12 
uvw2 55845.5705 15.54 0.09 17.11   5.46  0.43 3.73e-11 2.91e-12 
uvw2 55845.6198 15.74 0.09 17.29   4.53  0.36 3.08e-11 2.46e-12 
